Week,conjuring
2013-01-20,1
2013-01-27,1
2013-02-03,1
2013-02-10,1
2013-02-17,1
2013-02-24,6
2013-03-03,5
2013-03-10,3
2013-03-17,2
2013-03-24,2
2013-03-31,11
2013-04-07,8
2013-04-14,5
2013-04-21,4
2013-04-28,3
2013-05-05,3
2013-05-12,3
2013-05-19,3
2013-05-26,3
2013-06-02,6
2013-06-09,7
2013-06-16,5
2013-06-23,18
2013-06-30,21
2013-07-07,22
2013-07-14,58
2013-07-21,79
2013-07-28,88
2013-08-04,100
2013-08-11,88
2013-08-18,80
2013-08-25,56
2013-09-01,42
2013-09-08,37
2013-09-15,28
2013-09-22,23
2013-09-29,20
2013-10-06,30
2013-10-13,22
2013-10-20,19
2013-10-27,21
2013-11-03,13
2013-11-10,11
2013-11-17,10
2013-11-24,10
2013-12-01,8
2013-12-08,10
2013-12-15,8
2013-12-22,13
2013-12-29,12
2014-01-05,8
2014-01-12,8
2014-01-19,8
2014-01-26,6
2014-02-02,6
2014-02-09,5
2014-02-16,6
2014-02-23,5
2014-03-02,5
2014-03-09,5
2014-03-16,5
2014-03-23,5
2014-03-30,4
2014-04-06,5
2014-04-13,5
2014-04-20,5
2014-04-27,4
2014-05-04,4
2014-05-11,4
2014-05-18,4
2014-05-25,4
2014-06-01,3
2014-06-08,4
2014-06-15,4
2014-06-22,4
2014-06-29,5
2014-07-06,5
2014-07-13,7
